sentence,translation,difficulty,Tense_Simple_Present,Tense_Present_Continuous,Tense_Present_Perfect,Tense_Present_Perfect_Cont,Tense_Simple_Past,Tense_Past_Continuous,Tense_Past_Perfect,Tense_Past_Perfect_Cont,Tense_Simple_Future,Tense_Future_Continuous,Tense_Future_Perfect,Tense_Future_Perfect_Cont,is_passive,subordinate_clause_count,noun_phrase_count,average_noun_phrase_length,prepositional_phrase_count,verb_phrase_count,adjective_count,adverb_count,proper_noun_count,sentence_length
"विराट कोहली (५ नोव्हेंबर, इ","Virat Kohli (November 5, 2020)",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,3,8
स,s,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1
१९८८) हा भारतीय संघाकडून आंतरराष्ट्रीय क्रिकेट खेळणारा एक खेळाडू आहे,1988) is a cricketer who played international cricket for India.,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.5,1,2,1,0,1,12
उजव्या हाताने फलंदाजी करणाऱ्या कोहलीचा अनेकवेळा जगातील सर्वोत्तम फलंदाज म्हणून उल्लेख केला गेला आहे,"Kohli, a right-handed batsman, has often been cited as the best batsman in the world.",6.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,2.75,2,1,2,2,1,20
इएसपीएनच्या जगातील सर्वात जास्त विख्यात ॲथलीट्सच्या २०१६ च्या यादीत कोहलीचे नाव आठव्या क्रमांकावर आहे,Kohli was ranked eighth on ESPN's 2016 list of the world's most famous athletes.,7.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3.6666666666666665,2,1,2,1,2,17
"इंडियन प्रीमियर लीगच्या रॉयल चॅलेंजर्स बंगलोर संघाकडून तो खेळतो, आणि २०१३ पासून तो संघाचा कर्णधार आहे","He plays for Royal Challengers Bangalore in the Indian Premier League, and has been the team's captain since 2013.",7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.0,3,2,1,0,5,22
"दिल्लीसाठी विविध वयोगटातील आणि स्थानिक क्रिकेटमध्ये दिल्लीचे प्रतिनिधित्व केल्यानंतर, विराट कोहलीने २००८ साली मलेशियामधील १९ वर्षांखालील क्रिकेट विश्वचषकासाठी खेळविल्या गेलेल्या सामन्यांमध्ये विजेत्या संघाचे कर्णधारपद भूषविले","After representing Delhi in various age-group and domestic cricket for Delhi, Virat Kohli captained the winning team in matches played for the 2008 Under-19 Cricket World Cup in Malaysia",8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,2.3333333333333335,6,4,2,0,9,32
"त्यानंतर काही महिन्यातच म्हणजे ऑगस्ट २००८मध्ये, १९ वर्षांचा असताना त्याने भारताकडून श्रीलंकेविरुद्धच्या एकदिवसीय सामन्यात पदार्पण केले","A few months later, in August 2008, at the age of 19, he made his ODI debut for India against Sri Lanka.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1.6666666666666667,5,1,2,1,4,26
सुरुवातीला राखीव खेळाडू असलेल्या विराट कोहलीने लवकरच भारताच्या मधल्या फळीमध्ये एक महत्त्वाचे स्थान प्राप्त केले,"Initially a reserve player, Virat Kohli soon established himself as a vital cog in India's middle-order",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2.8,2,1,2,2,3,20
२०११ क्रिकेट विश्वचषक विजेत्या भारतीय संघातही त्याचा समावेश होता,He was also part of the Indian team that won the 2011 Cricket World Cup.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2.2,1,2,1,1,3,16
कोहली आपला पहिला कसोटी सामना २०११ मध्ये वेस्ट इंडीज विरुद्ध किंगस्टन येथे खेळला,Kohli played his first Test match in 2011 against West Indies at Kingston.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.0,3,1,1,0,4,14
"ऑस्ट्रेलिया आणि दक्षिण आफ्रिकेविरुद्ध कसोटी शतके झळकावत, २०१३ पर्यंत त्याने “एकदिवसीय विशेषज्ञ” हा त्याच्यावर असलेला शिक्का पुसून टाकला","He erased his ""ODI specialist"" label by 2013, scoring Test centuries against Australia and South Africa",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2.4,2,2,0,0,4,19
त्याच वर्षी आयसीसी एकदिवसीय क्रमवारीत त्याने पहिल्यांदाच पहिल्या क्रमांकावर झेप घेतली,"In the same year, he reached the number one position in the ICC ODI rankings for the first time.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3.0,3,1,2,0,2,21
"२०-२० क्रिकेट विश्वचषक, २०१४ मध्ये मालिकावीराचा पुरस्कार मिळवित त्याने ट्वेंटी२० क्रिकेट प्रकारातही आपले वर्चस्व सिद्ध केले",He also proved his dominance in the Twenty20 cricket format by winning the Man of the Series award in the Cricket World Cup 2014.,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2.6666666666666665,4,2,0,1,6,25
त्याच वर्षी नंतर त्याने आयसीसी आंतरराष्ट्रीय टी२० क्रमवारीतसुद्धा अव्वल स्थान पटकाविले,"Later that year, he also topped the ICC International T20I Rankings.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3.0,0,1,0,2,3,13
"त्यानंतर आयसीसी विश्व ट्वेंटी२०, २०१६मध्ये पुन्हा त्याला मालिकावीराचा पुरस्कार मिळाला",He then won the Man of the Series award again in the 2016 ICC World Twenty20.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.75,2,1,0,2,5,17
२०१२ मध्ये कोहलीची भारतीय एकदिवसीय क्रिकेट संघाचा उपकर्णधार म्हणून नियुक्ती झाली,"In 2012, Kohli was appointed the vice-captain of the Indian ODI cricket team.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2.0,2,1,0,0,3,17
